app_name,entity_path,entity_name
jackie_welles_valentino_beaten_up_alt,Character.Jackie,Jackie
jackie_welles_valentino_collar_down,Character.Jackie,Jackie
jackie_welles_wounded,Character.Jackie,Jackie
jackie_welles_wounded_bleeding,Character.Jackie,Jackie
river_ward__q203__shower,Character.Sobchak,River
river_ward_default,Character.Sobchak,River
river_ward_jail_overalls,Character.Sobchak,River
river_ward_naked,Character.Sobchak,River
river_ward_no_jacket,Character.Sobchak,River
river_ward_underwear,Character.Sobchak,River
river_ward_default,Character.sq029_sobchak_vr,River (VR)
river_ward_no_jacket,Character.sq029_sobchak_vr,River (VR)
river_ward_police_game,Character.sq029_sobchak_vr,River (VR)
goro_takemura_finale_white,Character.Takemura,Goro Takemura
goro_takemura_ronin_shirt,Character.Takemura,Goro Takemura
goro_takemura_ronin_trench,Character.Takemura,Goro Takemura
goro_takemura_saburo_bodyguard,Character.Takemura,Goro Takemura
goro_takemura_saburo_bodyguard_wounded,Character.Takemura,Goro Takemura
boss__adam_smasher_mb_2020_quest_appearance,Character.Smasher,Adam Smasher
boss__adam_smasher_mb_2077_quest_appearance,Character.Smasher,Adam Smasher
boss__adam_smasher_mb_bossfight_stage_00,Character.Smasher,Adam Smasher
boss__adam_smasher_mb_bossfight_stage_01,Character.Smasher,Adam Smasher
boss__adam_smasher_mb_bossfight_stage_02,Character.Smasher,Adam Smasher
boss__adam_smasher_mb_bossfight_stage_03,Character.Smasher,Adam Smasher
boss__adam_smasher_mm_bossfight_stage_04,Character.Smasher,Adam Smasher
boss__adam_smasher_mm_bossfight_stage_05,Character.Smasher,Adam Smasher
service__sexworker_wa__q105__yakuza_receptionist,Character.q105_yakuza_manager,Cheri from Clouds
service__sexworker_wa_doll_09,Character.q105_yakuza_manager,Cheri from Clouds
us_cracks_band_blue_moon__default,Character.sq017_blue_moon,Blue Moon
us_cracks_band_blue_moon__disguise,Character.sq017_blue_moon,Blue Moon
us_cracks_band_red_menace__default,Character.sq017_red_menace,Red Menace
us_cracks_band_red_menace__disguise,Character.sq017_red_menace,Red Menace
us_cracks_band_purple_force__default,Character.sq017_purple_force,Purple Force
evelyn_braindance,Character.Evelyn,Evelyn
evelyn_dead,Character.Evelyn,Evelyn
evelyn_default,Character.Evelyn,Evelyn
evelyn_disguised,Character.Evelyn,Evelyn
evelyn_no_coat,Character.Evelyn,Evelyn
evelyn_recovering,Character.Evelyn,Evelyn
evelyn_wounded,Character.Evelyn,Evelyn
8ug8ear_default,Character.sts_hey_rey_09_tobias,8ug8ear
service__sexworker_wa__q105__skye,Character.q105_doll_female_skye,Skye
celebrity_chrome_default,Character.Lizzy_Wizzy,Lizzy
sq031__stripper,Character.sq031_streapper,Ruby
sq031__stripper_bra,Character.sq031_streapper,Ruby
sq031__stripper_naked,Character.sq031_streapper,Ruby
sq031__stripper_wounded,Character.sq031_streapper,Ruby
corpo__ncpd_wa__sts_wa_kab_08__anna_hamil,Character.sts_wat_kab_08_dave_hamill,Anna Hamill
sandra_dorset__q000__sandra_dorset,Character.mq024_sandra_combatable,Sandra Dorsett
clair_bartender,Character.Claire,Claire
clair_default,Character.Claire,Claire
gang__generic_mb__q005__emmerick,Character.Emmerick,Emmerick Bronson
elizabeth_peralez_default,Character.Elizabeth_Peralez,Elizabeth Peralez
elizabeth_peralez_incognito,Character.Elizabeth_Peralez,Elizabeth Peralez
jefferson_peralez_default,Character.Jefferson_Peralez,Jefferson Peralez
citizen__rich_wa__sq026__maiko,Character.Maiko,Maiko
citizen__rich_wa__sq026__maiko_casual,Character.Maiko,Maiko
gang__tyger_wa__sq026__roxanne_casual,Character.Roxanne,Roxanne Sumner
gang__tyger_wa__sq026__roxanne_combat,Character.Roxanne,Roxanne Sumner
t_bug_default,Character.Tbug,Tbug
service__medical_wa__sq021__yawen_packard,Character.sq021_dr_mitsuko,Dr. Yawen Packard
misty_default,Character.Misty,Misty
citizen__lowlife_wa__sq029__joss,Character.sq021_joss,Joss Kutcher
citizen__lowlife_wa__sq029__joss_piama,Character.sq021_joss,Joss Kutcher
citizen__children_mc__sq021__joss_son,Character.sq021_joss_kid_boy,Dorian Kutcher
citizen__children_mc__sq021__joss_son_piama,Character.sq021_joss_kid_boy,Dorian Kutcher
corpo__ncpd_ma__sq029__ar_game_cop_boy,Character.sq029_joss_kid_boy_vr,Dorian (VR)
citizen__children_mc__sq021__joss_daughter,Character.sq021_joss_kid_girl,Monique Kutcher
citizen__children_mc__sq021__joss_daughter_piama,Character.sq021_joss_kid_girl,Monique Kutcher
citizen__lowlife_ma__sq021__randy,Character.sq021_randy,Randy Kutcher
citizen__aldecaldos_ma__sq021__meatman_appron,Character.sq021_meatman,Anthony Harris
citizen__aldecaldos_ma__sq021__meatman_default,Character.sq021_meatman,Anthony Harris
corporat_ma__q003_gman,Character.q203_mr_x,Mr. Blue Eyes (G-Man)
ozob_default,Character.Ozob,Ozob
ozob_exploded_head,Character.Ozob,Ozob
ozob_no_jacket,Character.Ozob,Ozob
service__media_ma__tvhost_n54__ziggy_q,Character.ziggy_q,Ziggy Q
gang__cyberpunk_mb__q101__shaitan,Character.q101_blackhand_minion,Shaitan
service__specialist_ma__sts_wat_nid_01_hal_cantos,Character.sts_wat_nid_01_hal_cantos,Hal Cantos
citizen__youngster_wa__mq037__theo,Character.mq037_girlfriend,Theo Price
service__specialist_wa__sq023__bd_producer,Character.sq023_rachel,Rachel
service__media_wa__tvhost_dms__ruth_dzeng,Character.ruth_dzeng,Ruth Dzeng
service__media_ma_guest_n54__rodrigo_jimenez,Character.rodrigo_martinez,Rodrigo Martinez
citizen__lowlife_ma__sq023__bill_jablonsky,Character.sq023_bill_jablonsky,Bill Jablonsky
joshua_stephenson_naked,Character.sq023_joshua,Joshua
joshua_stephenson_prisoner,Character.sq023_joshua,Joshua
corpo__generic_mb__sq006_security_guard,Character.sq012_peralez_driver,Donnie Carter
corpo__generic_mb__sq012__lucas,Character.sq012_lucas,John Lucas
corpo__generic_mb__sq012__lark,Character.sq012_lark,Daniel Lark
citizen__obese_mf__sq012__lucius_rhyne,Character.sq012_lucius_rhyne,Mayor Lucius Rhyne
weldon_holt_default,Character.sq012_weldon_holt,Deputy Mayor Holt
corpo__generic_ma__q000__parking_guard,Character.q000_kid_parking_security,Rick Martinez
gang__cyberpunk_ma__sts_cct_dtn_02_jack_mausser,Character.sts_cct_dtn_02_dozy,Jack Mausser
citizen__workout_ma_jock_ma_10,Character.q000_basketballer_03_ma,Lucas Fletcher
citizen__workout_ma_jock_ma_11,Character.q000_basketballer_03_ma,Lucas Fletcher
citizen__workout_mb__q000__backetball_thug,Character.q000_basketballer_02_mb,Benjamin Stone
citizen__workout_ma_jock_ma_10,Character.q000_basketballer_01_ma,Ernie Hawkins
citizen__workout_ma_jock_ma_11,Character.q000_basketballer_01_ma,Ernie Hawkins
service__media_wa__president_n54_president_myers,Character.rosalind_myers,Rosalind Myers
service__media_ma__tvhost_wns__josh_kavorkin,Character.josh_kavorkin,Josh Kavorkin
service__specialist_wa__q101__spider_murphy,Character.q101_spider_murphy,Spider Murphy
king_of_the_stoop_ma__q003_intro_street_punk_01,Character.q101_parasite,Martin Tin
citizen__lowlife_mb_king_of_the_stoop_mb_03,Character.q101_toten_guard,Huscle
service__ripperdoc_ma__q108__silverhands_ripperdoc,Character.q108_ripper,Milt Nauman
santiago_santiago,Character.Santiago,Santiago Aldecaldo
santiago_santiago_cyberspace,Character.Santiago,Santiago Aldecaldo
thompson_coat,Character.Thompson,Lyle Thompson
thompson_coat_no_galsses,Character.Thompson,Lyle Thompson
thompson_coat_no_galsses_blood,Character.Thompson,Lyle Thompson
thompson_coat_no_galsses_camera,Character.Thompson,Lyle Thompson
thompson_coat_no_galsses_cyberspace,Character.Thompson,Lyle Thompson
thompson_no_coat,Character.Thompson,Lyle Thompson
gang__cyberpunk_ma__q108_barman_m_01,Character.q108_barman_m_01,Johnnie Peterson
gang__cyberpunk_ma__q108_bouncer_entrance,Character.q108_barman_m_01,Johnnie Peterson
gang__cyberpunk_wa__q108_barman_f_01,Character.q108_crowd_f_02_drugs,Annie Capolino
gang__cyberpunk_wa__q108_crowd_f_02_drugs,Character.q108_crowd_f_02_drugs,Annie Capolino
gang__cyberpunk_wa__q108_crowd_f_02_vending_machine,Character.q108_crowd_f_02_drugs,Annie Capolino
gang__cyberpunk_wa__q108_mercenary_f_01_deal_chat,Character.q108_crowd_f_02_drugs,Annie Capolino
gang__cyberpunk_wa__q108_mercenary_f_02_deal_chat,Character.q108_crowd_f_02_drugs,Annie Capolino
gang__cyberpunk_wa__q108_mercenary_f_lilayah,Character.q108_crowd_f_02_drugs,Annie Capolino
gang__cyberpunk_wa__q108_barman_f_01,Character.q108_crowd_f_01_dancefloor_chat,Classified
gang__cyberpunk_wa__q108_crowd_f_02_drugs,Character.q108_crowd_f_01_dancefloor_chat,Classified
gang__cyberpunk_wa__q108_crowd_f_02_vending_machine,Character.q108_crowd_f_01_dancefloor_chat,Classified
gang__cyberpunk_wa__q108_mercenary_f_01_deal_chat,Character.q108_crowd_f_01_dancefloor_chat,Classified
gang__cyberpunk_wa__q108_mercenary_f_02_deal_chat,Character.q108_crowd_f_01_dancefloor_chat,Classified
gang__cyberpunk_wa__q108_mercenary_f_lilayah,Character.q108_crowd_f_01_dancefloor_chat,Classified
gang__cyberpunk_wa__q108_barman_f_01,Character.q108_crowd_f_02_vending_machine,Yishen Rhee
gang__cyberpunk_wa__q108_crowd_f_02_drugs,Character.q108_crowd_f_02_vending_machine,Yishen Rhee
gang__cyberpunk_wa__q108_crowd_f_02_vending_machine,Character.q108_crowd_f_02_vending_machine,Yishen Rhee
gang__cyberpunk_wa__q108_mercenary_f_01_deal_chat,Character.q108_crowd_f_02_vending_machine,Yishen Rhee
gang__cyberpunk_wa__q108_mercenary_f_02_deal_chat,Character.q108_crowd_f_02_vending_machine,Yishen Rhee
gang__cyberpunk_wa__q108_mercenary_f_lilayah,Character.q108_crowd_f_02_vending_machine,Yishen Rhee
gang__cyberpunk_mb__q108_mercenary_mb_02_drinking,Character.q108_mercenary_mb_02_drinking,Axel Mankievicz
gang__cyberpunk_mb_merc_solo__lvl3_01,Character.q108_mercenary_mb_02_drinking,Axel Mankievicz
gang__cyberpunk_mb_merc_solo__lvl3_02,Character.q108_mercenary_mb_02_drinking,Axel Mankievicz
gang__cyberpunk_mb_merc_solo__lvl3_03,Character.q108_mercenary_mb_02_drinking,Axel Mankievicz
gang__cyberpunk_wa__q108_barman_f_01,Character.q108_barman_f_01,Melissa Wellingham
gang__cyberpunk_wa__q108_crowd_f_02_drugs,Character.q108_barman_f_01,Melissa Wellingham
gang__cyberpunk_wa__q108_crowd_f_02_vending_machine,Character.q108_barman_f_01,Melissa Wellingham
gang__cyberpunk_wa__q108_mercenary_f_01_deal_chat,Character.q108_barman_f_01,Melissa Wellingham
gang__cyberpunk_wa__q108_mercenary_f_02_deal_chat,Character.q108_barman_f_01,Melissa Wellingham
gang__cyberpunk_wa__q108_mercenary_f_lilayah,Character.q108_barman_f_01,Melissa Wellingham
gang__cyberpunk_ma__q108_barman_m_01,Character.q108_bouncer_entrance,Freddie Burns
gang__cyberpunk_ma__q108_bouncer_entrance,Character.q108_bouncer_entrance,Freddie Burns
bodyguard_dex_default,Character.Dex_bodyguard,Oleg Darkevich
citizen__lowlife_ma__mq025__twin_01,Character.mq025_twin_01,Certo Esquerdo
citizen__lowlife_ma__mq025__twin_01_wounded,Character.mq025_twin_01,Certo Esquerdo
citizen__lowlife_ma__mq025__twin_02,Character.mq025_twin_02,Esquerdo Certo
citizen__lowlife_ma__mq025__twin_02_wounded,Character.mq025_twin_02,Esquerdo Certo
peter_sampson_default,Character.sq024_dominic,Peter 'PJ' Sampson
peter_sampson_racing,Character.sq024_dominic,Peter 'PJ' Sampson
peter_sampson_racing_no_helmet,Character.sq024_dominic,Peter 'PJ' Sampson
woodman_default,Character.sq026_woodman,Oswald 'Woodman' Forrest
steve_default,Character.Steve,Steve Sanchez
gang__cyberpunk_ma_STS_wat_kab_01_tiny_mike,Character.sts_wat_kab_01_tiny_mike,Tiny Mike
gang__cyberpunk_ma_STS_wat_kab_01_tiny_mike_wounded,Character.sts_wat_kab_01_tiny_mike,Tiny Mike
citizen__corporat_ma__sts_std_rcr_03_flavio_dos_santos,Character.sts_std_rcr_03_flavio,Flavio dos Santos
citizen__workout_ma_sts_STS_wat_lch_03_roh_chi_won,Character.sts_wat_lch_03_ricky_wu,Roh Chi-Won
citizen__workout_ma_sts_STS_wat_lch_03_roh_chi_won_recovered,Character.sts_wat_lch_03_ricky_wu,Roh Chi-Won
service__fixer_wa__regina_jones,Character.reggie,Regina Jones
wakako_okada_default,Character.wakako_okada,Wakako Okada
dakota_smith_default,Character.dakota_smith,Dakota Smith
dex_default,Character.Dexter,Dexter DeShawn
dex_dex_beaten,Character.Dexter,Dexter DeShawn
dex_dex_shot,Character.Dexter,Dexter DeShawn
citizen__rich_ma__sts_wat_kab_04_mikhail_akulov,Character.sts_wat_kab_04_tanyimu,Mikhail Akulov
capitan_reyes_default,Character.muamar_reyes,Muamar Reyes
sebastian_perez_default,Character.Padre,Sebastian Ibarra
service__fixer_ma__mr_hands,Character.mr_hands,Mr. Hands
victor_vektor_default,Character.Victor_Vector,Viktor Vektor
victor_vektor_jackies_funeral,Character.Victor_Vector,Viktor Vektor
fingers_default,Character.Fingers,Finn Gerstatt
fingers_recovered,Character.Fingers,Finn Gerstatt
fingers_wounded,Character.Fingers,Finn Gerstatt
service__ripperdoc_ma__sts_waw_87__scavenger_ripperdoc,Character.wat_kab_ripperdoc_02,Charles Bucks
cassious,Character.wat_nid_ripperdoc_01,Cassius Ryder
service__ripperdoc_mb__ripperdoc_no_augmentation,Character.wat_kab_ripperdoc_03,Robert Rainwater
service__ripperdoc_mb__wat_kab_ripperdoc_03,Character.wat_kab_ripperdoc_03,Robert Rainwater
service__ripperdoc_wa__sts_wat_kab_02_lucy_thackery,Character.sts_wat_kab_02_lucy,Lucy Thackery
service__ripperdoc_ma__mq040__black_market_ripperdoc,Character.mq040_ripperdoc,Shady Ripperdoc
hanako_default,AMM_Character.Hanako,Hanako
hanako_no_coat,AMM_Character.Hanako,Hanako
hanako_parade,AMM_Character.Hanako,Hanako
hanako_parade_no_coat,AMM_Character.Hanako,Hanako
michiko_default,Character.Michiko,Michiko
saburo_arasaka_default,Character.Saburo,Saburo Arasaka
saburo_arasaka_hologram,Character.Saburo,Saburo Arasaka
saburo_arasaka_hologram_mikoshi,Character.Saburo,Saburo Arasaka
yorinobu_arasaka_yorinobu_arasaka_ceo,Character.Yorinobu,Yorinobu
yorinobu_arasaka_yorinobu_arasaka_ceo__coat,Character.Yorinobu,Yorinobu
yorinobu_arasaka_yorinobu_default,Character.Yorinobu,Yorinobu
yorinobu_arasaka_yorinobu_kimono_simulation,Character.Yorinobu,Yorinobu
oda_oda,Character.Cyberninja_Oda,Oda (Boss version)
oda_oda_cloak,Character.Cyberninja_Oda,Oda (Boss version)
oda_oda_cloak_concrete,Character.Cyberninja_Oda,Oda (Boss version)
oda_oda_concrete,Character.Cyberninja_Oda,Oda (Boss version)
oda_oda_mask_damage,Character.Cyberninja_Oda,Oda (Boss version)
oda_oda_mask_damage_concrete,Character.Cyberninja_Oda,Oda (Boss version)
oda_oda_no_gear,Character.Cyberninja_Oda,Oda (Boss version)
oda_oda_no_mask,Character.Cyberninja_Oda,Oda (Boss version)
haru_kasai__q104__hellman_wounded,Character.Haru_Kasai,Anders Hellman
haru_kasai_haru_kasai_default,Character.Haru_Kasai,Anders Hellman
citizen__arasaka_corpo_ma__q000__receptionist,Character.q000_corpo_arasaka_m_receptionist,Stanley Judith
citizen__arasaka_corpo_ma__q000__corpo_friend,Character.q000_corpo_friend,Frank Nostra
citizen__arasaka_corpo_ma__q000__corpo_friend_fired,Character.q000_corpo_friend,Frank Nostra
citizen__arasaka_corpo_ma__q000__jenkins,Character.q000_corpo_jenkins,Arthur Jenkins
citizen__corporat_ma__q000__corporate_asistant,Character.q000_corpo_assistant,Carter Smith
corporat_ma_corporat_ma_03,Character.sts_wat_kab_05_aloise_daquin,Alois Daquin
citizen__arasaka_corpo_ma__q000__coworker,Character.Arasaka_Coworker,Harry
citizen__rich_ma__q000__kaori_hiro,Character.q000_kid_parking_kaoru,Kaoru
corpo__arasaka_mb__q108__toshiro,Character.q108_toshiro,Toshiro
corpo__arasaka_mb__q108__akira,Character.q108_akira,Akira
corpo__arasaka_ma__q000__jenkins_netrunner,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma__q101__2020_technician,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_agent_2020__lvl2_02,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_agent_2020__lvl2_03,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_agent_2020__lvl2_04,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_agent_2020__lvl2_05,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_agent__lvl2_01,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_agent__lvl2_02,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_agent__lvl2_03,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_agent__lvl2_04,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_agent__lvl2_06,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_cyborg__lvl3_01,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_cyborg__lvl3_02,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_cyborg__lvl3_03,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_cyborg__lvl3_04,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_cyborg__lvl3_05,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_cyborg__lvl3_06,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_guard__lvl2_01,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_guard__lvl2_02,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_guard__lvl2_03,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_guard__lvl2_04,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_guard__lvl2_06,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_guard__lvl2_07,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_guard__lvl2_08,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_guard__lvl2_09,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_konpeki_guard_02,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_konpeki_guard_03,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_konpeki_guard_04,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_konpeki_guard_05,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_konpeki_guard_06,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_netrunner__lvl2_01,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_netrunner__lvl2_03,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_ninja__lvl3_01,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_ninja__lvl3_02,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_ninja__lvl3_03,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_ninja_elite__lvl3_01,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_ranger__lvl1_01,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_ranger__lvl1_02,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_ranger__lvl1_03,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_ranger__lvl1_04,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_ranger__lvl1_05,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_ranger__lvl1_06,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_security__lvl1_01,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_security__lvl1_02,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_security__lvl1_03,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_security__lvl1_04,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_security__lvl1_05,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_security__lvl1_06,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_security__lvl1_07,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_security__lvl1_08,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_security__lvl1_10,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_sniper__lvl2_01,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_sniper__lvl2_02,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_sniper__lvl2_03,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_techie__lvl2_01,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_techie__lvl2_02,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_ma_techie__lvl2_03,Character.troyAssassinTemplate,Arasaka Ninja
corpo__arasaka_mah_soldier__lvl1_01,Character.q112_parade_officer_soldier1_ranged3_masamune_mah_rare,Arasaka Soldier
corpo__arasaka_mah_soldier__lvl1_02,Character.q112_parade_officer_soldier1_ranged3_masamune_mah_rare,Arasaka Soldier
corpo__arasaka_mah_soldier__lvl1_03,Character.q112_parade_officer_soldier1_ranged3_masamune_mah_rare,Arasaka Soldier
corpo__arasaka_mah_soldier__lvl1_04,Character.q112_parade_officer_soldier1_ranged3_masamune_mah_rare,Arasaka Soldier
corpo__arasaka_mah_soldier__lvl1_05,Character.q112_parade_officer_soldier1_ranged3_masamune_mah_rare,Arasaka Soldier
corpo__arasaka_mah_soldier__lvl1_06,Character.q112_parade_officer_soldier1_ranged3_masamune_mah_rare,Arasaka Soldier
corpo__arasaka_mah_soldier__lvl2_01,Character.q112_parade_officer_soldier1_ranged3_masamune_mah_rare,Arasaka Soldier
corpo__arasaka_mah_soldier__lvl2_02,Character.q112_parade_officer_soldier1_ranged3_masamune_mah_rare,Arasaka Soldier
corpo__arasaka_mah_soldier_elite_lvl1_01,Character.q112_parade_officer_soldier1_ranged3_masamune_mah_rare,Arasaka Soldier
corpo__arasaka_mah_soldier_elite_lvl1_02,Character.q112_parade_officer_soldier1_ranged3_masamune_mah_rare,Arasaka Soldier
corpo__arasaka_mah_soldier_elite_lvl2_01,Character.q112_parade_officer_soldier1_ranged3_masamune_mah_rare,Arasaka Soldier
corpo__arasaka_mah_terminator__lvl3_01,Character.q112_parade_officer_soldier1_ranged3_masamune_mah_rare,Arasaka Soldier
corpo__arasaka_mah_terminator__lvl3_02,Character.q112_parade_officer_soldier1_ranged3_masamune_mah_rare,Arasaka Soldier
corpo__arasaka_mah_terminator__lvl3_03,Character.q112_parade_officer_soldier1_ranged3_masamune_mah_rare,Arasaka Soldier
citizen__arasaka_corpo_wa_corporate_01,Character.q000_corpo_arasaka_f_corporate,Female Arasaka Corpo
citizen__arasaka_corpo_wa_corporate_02,Character.q000_corpo_arasaka_f_corporate,Female Arasaka Corpo
citizen__arasaka_corpo_wa_corporate_03,Character.q000_corpo_arasaka_f_corporate,Female Arasaka Corpo
citizen__arasaka_corpo_wa_corporate_04,Character.q000_corpo_arasaka_f_corporate,Female Arasaka Corpo
citizen__arasaka_corpo_wa_corporate_05,Character.q000_corpo_arasaka_f_corporate,Female Arasaka Corpo
citizen__arasaka_corpo_wa_corporate_06,Character.q000_corpo_arasaka_f_corporate,Female Arasaka Corpo
citizen__arasaka_corpo_wa_corporate_07,Character.q000_corpo_arasaka_f_corporate,Female Arasaka Corpo
citizen__arasaka_corpo_wa_corporate_08,Character.q000_corpo_arasaka_f_corporate,Female Arasaka Corpo
citizen__arasaka_corpo_wa_corporate_09,Character.q000_corpo_arasaka_f_corporate,Female Arasaka Corpo
citizen__arasaka_corpo_wa_corporate_10,Character.q000_corpo_arasaka_f_corporate,Female Arasaka Corpo
citizen__arasaka_corpo_wa_corporate_11,Character.q000_corpo_arasaka_f_corporate,Female Arasaka Corpo
citizen__arasaka_corpo_wa_corporate_12,Character.q000_corpo_arasaka_f_corporate,Female Arasaka Corpo
citizen__arasaka_corpo_wa_corporate_13,Character.q000_corpo_arasaka_f_corporate,Female Arasaka Corpo
citizen__arasaka_corpo_wa_corporate_14,Character.q000_corpo_arasaka_f_corporate,Female Arasaka Corpo
citizen__arasaka_corpo_wa_corporate_15,Character.q000_corpo_arasaka_f_corporate,Female Arasaka Corpo
citizen__arasaka_corpo_wa_faction_hato_01,Character.q000_corpo_arasaka_f_corporate,Female Arasaka Corpo
citizen__arasaka_corpo_wa_faction_hato_02,Character.q000_corpo_arasaka_f_corporate,Female Arasaka Corpo
